범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
이벤트별,솔레이마니 암살,SP500+GPR,0.25,SP500_z,0.00856,0.00452,0.0591,309,77.2,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.25,GPR_custom_z,0.00036,0.00398,0.9284,309,77.2,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.5,SP500_z,0.00644,0.00544,0.2375,309,154.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.5,GPR_custom_z,0.00035,0.00241,0.8863,309,154.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.75,SP500_z,0.00497,0.00621,0.4242,309,231.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.75,GPR_custom_z,0.00427,0.00246,0.083,309,231.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.9,SP500_z,0.00837,0.00586,0.1544,309,278.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.9,GPR_custom_z,0.00022,0.0045,0.9616,309,278.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.95,SP500_z,0.01409,0.00499,0.005,309,293.6,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.95,GPR_custom_z,-0.00185,0.00621,0.7658,309,293.6,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.01,Gold_z,0.03938,0.00978,0.0001,309,3.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.01,GPR_custom_z,0.01843,0.01137,0.1061,309,3.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.025,Gold_z,0.02597,0.00603,0.0,309,7.7,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.025,GPR_custom_z,0.01403,0.00729,0.0552,309,7.7,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.05,Gold_z,0.01472,0.00354,0.0,309,15.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.05,GPR_custom_z,0.00707,0.00544,0.1953,309,15.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.1,Gold_z,0.01178,0.00297,0.0001,309,30.9,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.1,GPR_custom_z,0.00466,0.00463,0.3145,309,30.9,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.2,Gold_z,0.01012,0.00261,0.0001,309,61.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.2,GPR_custom_z,0.00068,0.00398,0.8645,309,61.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.25,Gold_z,0.00885,0.0026,0.0008,309,77.2,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.25,GPR_custom_z,0.00193,0.00297,0.5173,309,77.2,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.5,Gold_z,0.00761,0.00272,0.0055,309,154.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.5,GPR_custom_z,-0.00053,0.00246,0.829,309,154.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.75,Gold_z,0.00625,0.00307,0.0423,309,231.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.75,GPR_custom_z,0.00294,0.00199,0.1415,309,231.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.9,Gold_z,0.00528,0.00402,0.1902,309,278.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.9,GPR_custom_z,0.00051,0.0042,0.9027,309,278.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.95,Gold_z,0.00107,0.00528,0.8396,309,293.6,5,HAC(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR,0.95,GPR_custom_z,0.00215,0.00738,0.7706,309,293.6,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.01,SP500_z,0.04416,0.0062,0.0,475,4.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.01,GPR_custom_z,0.01279,0.01087,0.2397,475,4.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.025,SP500_z,0.03679,0.00444,0.0,475,11.9,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.025,GPR_custom_z,0.00646,0.00818,0.4302,475,11.9,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.05,SP500_z,0.0332,0.00369,0.0,475,23.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.05,GPR_custom_z,0.00366,0.00709,0.6054,475,23.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.1,SP500_z,0.0219,0.00237,0.0,475,47.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.1,GPR_custom_z,0.00356,0.00457,0.4362,475,47.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.2,SP500_z,0.01825,0.00212,0.0,475,95.0,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.2,GPR_custom_z,2e-05,0.00324,0.9959,475,95.0,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.25,SP500_z,0.01617,0.00219,0.0,475,118.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.25,GPR_custom_z,0.00148,0.00251,0.5572,475,118.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.5,SP500_z,0.01484,0.00241,0.0,475,237.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.5,GPR_custom_z,-0.00035,0.00155,0.8197,475,237.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.75,SP500_z,0.01765,0.00271,0.0,475,356.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.75,GPR_custom_z,-0.00283,0.00216,0.1914,475,356.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.9,SP500_z,0.01525,0.00354,0.0,475,427.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.9,GPR_custom_z,-0.00629,0.00395,0.1121,475,427.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.95,SP500_z,0.01806,0.00408,0.0,475,451.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,SP500+GPR,0.95,GPR_custom_z,-0.00684,0.0057,0.2309,475,451.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.01,Gold_z,0.02586,0.00979,0.0085,475,4.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.01,GPR_custom_z,0.00591,0.01525,0.6987,475,4.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.025,Gold_z,-0.0022,0.00609,0.7184,475,11.9,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.025,GPR_custom_z,0.00704,0.00971,0.4691,475,11.9,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.05,Gold_z,-0.00733,0.00484,0.1307,475,23.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.05,GPR_custom_z,0.00279,0.00758,0.7128,475,23.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.1,Gold_z,0.00126,0.00402,0.7529,475,47.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.1,GPR_custom_z,-3e-05,0.00603,0.9967,475,47.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.2,Gold_z,-0.00185,0.00313,0.5558,475,95.0,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.2,GPR_custom_z,0.00058,0.00349,0.8688,475,95.0,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.25,Gold_z,-0.00282,0.00302,0.351,475,118.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.25,GPR_custom_z,-0.00038,0.00326,0.9078,475,118.8,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.5,Gold_z,0.00117,0.00273,0.6679,475,237.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.5,GPR_custom_z,-0.00139,0.00198,0.4826,475,237.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.75,Gold_z,0.00107,0.00292,0.7154,475,356.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.75,GPR_custom_z,-0.00338,0.00254,0.1831,475,356.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.9,Gold_z,-0.00184,0.00378,0.6258,475,427.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.9,GPR_custom_z,-0.00397,0.00484,0.4132,475,427.5,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.95,Gold_z,-0.00052,0.00445,0.9072,475,451.2,5,HAC(bw=5)
이벤트별,러-우 전쟁,Gold+GPR,0.95,GPR_custom_z,-0.00706,0.00614,0.2505,475,451.2,5,HAC(bw=5)
이벤트별,이스라엘-하마스,SP500+GPR,0.01,SP500_z,0.01172,0.00582,0.0451,262,2.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.01,GPR_custom_z,0.00691,0.00774,0.373,262,2.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.025,SP500_z,0.00771,0.00516,0.1364,262,6.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.025,GPR_custom_z,0.0029,0.0074,0.6957,262,6.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,SP500+GPR,0.05,SP500_z,0.01667,0.0045,0.0003,262,13.1,4,HAC(bw=4)
