date,event_name,event_date,GPR_custom,F3_raw,GPR,GPR_zscore,N,mean_tone,BTC,Gold,TLT,DXY,SP500,NASDAQ,VIX,fear_greed,fg_label,fear_greed_lag1
2022-02-03,russia_ukraine_war,2022-02-24,-0.384060162184391,1.3938735741264596,216.16,2.304848363838212,3386,-2.5699684770084623,0.005441215831991581,-0.0034327874115770577,-0.007836537238888235,-0.0058541374472642115,-0.024693471720120656,-0.038082241390358755,24.350000381469727,20.0,Extreme Fear,28.0
2022-02-04,russia_ukraine_war,2022-02-24,-0.6809992609307361,1.0716956690208856,216.16,2.304848363838212,2843,-2.26633607144238,0.11062688345744714,0.0019946679986083213,-0.014852125196549161,0.0010479525552560794,0.005143678439863626,0.015669676475386397,23.219999313354492,20.0,Extreme Fear,20.0
2022-02-07,russia_ukraine_war,2022-02-24,-0.3217879412046513,1.461438720603388,216.16,2.304848363838212,3959,-2.392598830841944,0.05483863574338118,0.007719491459363494,0.0006473093353358288,-0.0008382421803503835,-0.003708580927828488,-0.005857652225023406,22.860000610351562,45.0,Fear,20.0
2022-02-08,russia_ukraine_war,2022-02-24,-0.3440647320684559,1.437268478815504,216.16,2.304848363838212,3716,-2.468009351058152,0.006324808965338507,0.003290198230438897,-0.00670834499162229,0.0025125417595850096,0.00836611346663433,0.01267507307453662,21.440000534057617,48.0,Neutral,45.0
2022-02-09,russia_ukraine_war,2022-02-24,-0.5093260121122131,1.2579605559978166,216.16,2.304848363838212,3363,-2.3316194881375614,0.00498211368199733,0.004697138876945367,0.0018799319740641506,-0.0015696286175007012,0.014412842079264784,0.020633242048742065,19.959999084472656,54.0,Neutral,48.0
2022-02-10,russia_ukraine_war,2022-02-24,-0.1769381617910014,1.618600235148022,216.16,2.304848363838212,4081,-2.590573324554303,-0.01760339378138894,0.0005447513489833872,-0.016020127374601394,0.0006281950342758991,-0.01828182448505601,-0.02125413840295057,23.90999984741211,50.0,Neutral,54.0
2022-02-11,russia_ukraine_war,2022-02-24,-0.2069715680411349,1.5860140922328436,216.16,2.304848363838212,4071,-2.543055770885215,-0.026921126055171853,0.002502094128990784,0.014719037986590383,0.005531494204194163,-0.019151682638086528,-0.028203050126456884,27.360000610351562,50.0,Neutral,50.0
2022-02-14,russia_ukraine_war,2022-02-24,0.6664754816066637,2.533701149492209,216.16,2.304848363838212,6179,-3.019912646588492,0.004211566272222369,0.014668053542140463,-0.012519278646698976,0.0030137815342469367,-0.0038479907556283146,-1.671149028291235e-05,28.329999923706055,46.0,Fear,50.0
2022-02-15,russia_ukraine_war,2022-02-24,0.8532397215079027,2.7363397101063383,216.16,2.304848363838212,6862,-3.040798458673444,0.045630604487240684,-0.007091439946204802,-0.011417774093033382,-0.0039509812428535395,0.015643717646064172,0.024980271697116627,25.700000762939453,46.0,Fear,46.0
2022-02-16,russia_ukraine_war,2022-02-24,0.6218549168232196,2.4852879895302813,216.16,2.304848363838212,5999,-3.0222969141444804,-0.01385529504989858,0.008268451050258554,0.005909332220487723,-0.0030257305506146844,0.0008808197202838003,-0.0011088315071790878,24.290000915527344,51.0,Neutral,46.0
2022-02-17,russia_ukraine_war,2022-02-24,0.796085640441774,2.674327727905742,216.16,2.304848363838212,6574,-3.05757755884711,-0.08108233071910446,0.016176862774401283,0.007410934136587796,0.0010444502622120751,-0.021400504136936647,-0.029266332389069793,28.110000610351562,52.0,Neutral,51.0
2022-02-18,russia_ukraine_war,2022-02-24,1.0287553113620909,2.9267735239467174,216.16,2.304848363838212,6177,-3.4891791736138265,-0.012586526423760572,-0.0011054540785265011,0.01047207954812998,0.002502064053499768,-0.007191961663866342,-0.012371381904165955,27.75,30.0,Fear,52.0
2022-02-22,russia_ukraine_war,2022-02-24,2.8135017825267914,4.863217332296784,216.16,2.304848363838212,13734,-3.559471036316892,-0.04456856016148078,0.003942497337925904,0.002600974088741333,-0.00010415094762741463,-0.010194735435016016,-0.0123695092126878,28.809999465942383,20.0,Extreme Fear,30.0
2022-02-23,russia_ukraine_war,2022-02-24,2.557999024189177,4.585997714612733,216.16,2.304848363838212,12150,-3.592801186858657,-0.026183634615420347,0.0016250236299235957,-0.013877533996185621,0.0016647976074093411,-0.018583735748788438,-0.026045544324412112,31.020000457763672,25.0,Extreme Fear,20.0
2022-02-24,russia_ukraine_war,2022-02-24,5.805262485925705,8.109267448524882,216.16,2.304848363838212,26965,-4.251835704137148,0.027399579951549815,0.008293621186042542,0.0006583404712762298,0.009827803088777518,0.014846105252724002,0.03290239021903263,30.31999969482422,23.0,Extreme Fear,25.0
2022-02-25,russia_ukraine_war,2022-02-24,4.529664642951718,6.725248157897172,216.16,2.304848363838212,26543,-3.551148363229533,0.022738450595305906,-0.020254641338243038,0.0007308204166058794,-0.005367443081482192,0.022126080551265786,0.016271602029804714,27.59000015258789,27.0,Fear,23.0
2022-02-28,russia_ukraine_war,2022-02-24,3.831860154738671,5.968132678208212,216.16,2.304848363838212,23205,-3.351296956194762,0.09664446705281778,0.006814799258052393,0.021681850333208567,0.0009310127092420202,-0.0024455914631261143,0.004137601983257069,30.149999618530273,20.0,Extreme Fear,27.0
2022-03-01,russia_ukraine_war,2022-02-24,3.5651630011202906,5.678767179986005,318.95,4.412402133226498,24886,-3.0874049103064403,0.026533380332524757,0.022386274771780384,0.010171926406637739,0.007212112115519748,-0.015594467786613053,-0.01604942456646288,33.31999969482422,51.0,Neutral,20.0
2022-03-02,russia_ukraine_war,2022-02-24,3.6107819304065503,5.72826356201403,318.95,4.412402133226498,26056,-3.050007835179858,-0.009753715935407227,-0.011130495531632012,-0.03478049209333302,-0.00020538267164137,0.018471046780652183,0.016094447376489046,30.739999771118164,52.0,Neutral,51.0
2022-03-03,russia_ukraine_war,2022-02-24,3.2103493375598777,5.293795570281021,318.95,4.412402133226498,22534,-3.013823235613312,-0.03409447865241336,0.007003374578962224,0.010133862689966371,0.004098801980339983,-0.005268520744245652,-0.01568954248067703,30.479999542236328,39.0,Fear,52.0
2022-03-04,russia_ukraine_war,2022-02-24,3.2414037557894786,5.327489507696894,318.95,4.412402133226498,21859,-3.0769666156894613,-0.0812852755652355,0.015745908688366235,0.017116597897881766,0.008755916249864687,-0.007965684543001903,-0.01672206226662008,31.979999542236328,33.0,Fear,39.0
2022-03-07,russia_ukraine_war,2022-02-24,3.416108646587749,5.517043715838296,318.95,4.412402133226498,20752,-3.266767212934606,-0.027866346094458493,0.014549409887335826,-0.007659085507918453,0.006466622330017505,-0.029962586814416495,-0.03691308616650448,36.45000076293945,23.0,Extreme Fear,33.0
2022-03-08,russia_ukraine_war,2022-02-24,3.101289951495617,5.175466509936232,318.95,4.412402133226498,22652,-2.939223039102824,0.01758473821596099,0.022906282220362194,-0.010110535206742875,-0.002319167751884464,-0.007260043975698096,-0.0027635584486704087,35.130001068115234,21.0,Extreme Fear,23.0
2022-03-09,russia_ukraine_war,2022-02-24,3.030985226929916,5.099186124580341,318.95,4.412402133226498,22047,-2.9331583098141465,0.08046083301385845,-0.026926590113771603,-0.009847310263668273,-0.011064380697839504,0.025373598122141117,0.03531887895665381,32.45000076293945,22.0,Extreme Fear,21.0
2022-03-10,russia_ukraine_war,2022-02-24,3.2271676626294177,5.3120433953777,318.95,4.412402133226498,21672,-3.080616325303505,-0.06254685680053026,0.00612449262362708,-0.014471541831419417,0.005496765736485601,-0.004301049920247209,-0.009519679045179046,30.229999542236328,28.0,Fear,22.0
2022-03-11,russia_ukraine_war,2022-02-24,3.150020477973545,5.22833896425981,318.95,4.412402133226498,20742,-3.0965390207323327,-0.016425482290646415,-0.007737189270018215,0.0033411096225907573,0.006173177477547135,-0.013046278933238144,-0.022034689112895123,30.75,22.0,Extreme Fear,28.0
2022-03-14,russia_ukraine_war,2022-02-24,3.1441924995750314,5.222015627658598,318.95,4.412402133226498,19019,-3.226797720032742,0.02222273623921667,-0.011719169211706966,-0.023625872416854453,-0.0006055625161930736,-0.007448675095533314,-0.02065674559501737,31.770000457763672,23.0,Extreme Fear,22.0
2022-03-15,russia_ukraine_war,2022-02-24,3.155016685640798,5.233759832466469,318.95,4.412402133226498,20207,-3.139259883368745,-0.00830247189817811,-0.015997859657440227,-0.0017470909788125531,0.00010096539017436418,0.021182629724144964,0.028784023642266437,29.829999923706055,21.0,Extreme Fear,23.0
2022-03-16,russia_ukraine_war,2022-02-24,2.3941645451537026,4.408237866002153,318.95,4.412402133226498,19560,-2.6865118109782657,0.044865467674200424,-0.010686925640050688,0.009759930056619867,-0.006989164455433316,0.022136921648393443,0.036989363367493,26.670000076293945,24.0,Extreme Fear,21.0
2022-03-17,russia_ukraine_war,2022-02-24,2.5694865638128,4.598461655758852,318.95,4.412402133226498,18089,-2.9134927083615305,-0.004690916877794194,0.017714276252213116,-0.007481655597118063,-0.003767967371965736,0.012272205068700267,0.013177396252139886,25.670000076293945,27.0,Fear,24.0
2022-03-18,russia_ukraine_war,2022-02-24,2.4221058082128595,4.438554040720838,318.95,4.412402133226498,15977,-2.9968216535555645,0.020538517974936225,-0.007182949353329487,0.01213872924695376,0.00224216578386301,0.011594814411888112,0.020289577765698643,23.8700008392334,25.0,Extreme Fear,27.0
2022-03-21,russia_ukraine_war,2022-02-24,2.64222796615307,4.677385828154383,318.95,4.412402133226498,14436,-3.332313063809766,-0.017451397341420618,0.00020743851021229863,-0.02342876970278158,0.002744846317045894,-0.0004347548543014596,-0.003993895696870011,23.530000686645508,30.0,Fear,25.0
2022-03-22,russia_ukraine_war,2022-02-24,2.5082993063569234,4.53207369098925,318.95,4.412402133226498,14293,-3.2461330692606483,0.03070379130997368,-0.004104660928568712,-0.012894541750822714,-0.00010154968625342597,0.011240699554074212,0.019348486385421537,22.940000534057617,26.0,Fear,30.0
2022-03-23,russia_ukraine_war,2022-02-24,2.366286567179112,4.377990355383468,318.95,4.412402133226498,15373,-3.0162996609652817,0.012531246090632069,0.008244168082008863,0.021678206165076947,0.0013191101543423302,-0.012348630252495208,-0.013286764867687723,23.56999969482422,31.0,Fear,26.0
2022-03-24,russia_ukraine_war,2022-02-24,2.186922347056889,4.183380790884061,318.95,4.412402133226498,17329,-2.708709811200644,0.024593725965785046,0.012826608725129677,-0.007863526983964817,0.0017222856776596017,0.014242012281618024,0.01915374951960988,21.670000076293945,40.0,Fear,31.0
2022-03-25,russia_ukraine_war,2022-02-24,2.362210056195848,4.373567354928921,318.95,4.412402133226498,15725,-2.977593566113047,0.008782716407665668,-0.0039842350856929614,-0.013970030187535787,0.00020239517499074362,0.005053380704237665,-0.0015895019796491015,20.809999465942383,47.0,Neutral,40.0
2022-03-28,russia_ukraine_war,2022-02-24,1.355033088614114,3.28078379474422,318.95,4.412402133226498,13137,-2.4605431171650345,0.06078330404132472,-0.007294465566171339,0.008513253587521316,0.002829701614618768,0.007119551020042568,0.013013735989846374,19.6299991607666,60.0,Greed,47.0
2022-03-29,russia_ukraine_war,2022-02-24,1.79361244816869,3.7566408977003416,318.95,4.412402133226498,14204,-2.699804965041848,0.00714059973919024,-0.014331939032686957,0.007524112166683076,-0.006987671548294082,0.01218204410139109,0.01827443162131458,18.899999618530273,56.0,Greed,60.0
2022-03-30,russia_ukraine_war,2022-02-24,1.5696481116904202,3.513640359712695,318.95,4.412402133226498,13000,-2.650507312548207,-0.0085279952347302,0.011182017436005276,0.007771383978180271,-0.006218487878745843,-0.006313588999088777,-0.012206515299213513,19.329999923706055,55.0,Greed,56.0
2022-03-31,russia_ukraine_war,2022-02-24,1.6704922220011305,3.6230558740026937,318.95,4.412402133226498,14083,-2.615871123353488,-0.03291800954258311,0.00808717487165785,0.0024257692963933304,0.005303394858718424,-0.015776335226881762,-0.015473331911616312,20.559999465942383,52.0,Neutral,55.0
2022-04-01,russia_ukraine_war,2022-02-24,1.4729243604310944,3.408695420880972,191.14,1.791851036178956,12413,-2.638459450366318,0.016183454010017757,-0.015562693516428947,0.0022687981004994202,0.003249720573493351,0.0034044209614630277,0.0028776398376052607,19.6299991607666,50.0,Neutral,52.0
2022-04-04,russia_ukraine_war,2022-02-24,2.36011281508619,4.371291855508119,191.14,1.791851036178956,13331,-3.252028875138021,0.007341591448509382,0.005249070482197901,-0.006973937668608124,0.003643366232877342,0.008058382532133647,0.01882734891709176,18.56999969482422,52.0,Neutral,50.0
2022-04-05,russia_ukraine_war,2022-02-24,2.958788803624414,5.020853252570949,191.14,1.791851036178956,13984,-3.638973444349188,-0.02314486060589607,-0.003270908031756635,-0.02285155085991433,0.004837290084945272,-0.01263115907400537,-0.022855369743380975,21.030000686645508,53.0,Neutral,52.0
2022-04-06,russia_ukraine_war,2022-02-24,2.9983197066936977,5.063744147005409,191.14,1.791851036178956,14443,-3.606626938673409,-0.05294570510057487,-0.0023429578535094993,-0.008127016169695142,0.0013060458340874033,-0.009764433912479721,-0.022451355514771204,22.100000381469727,48.0,Neutral,53.0
2022-04-07,russia_ukraine_war,2022-02-24,2.38689339600807,4.400348694083264,191.14,1.791851036178956,13503,-3.250688963720335,0.0068529242315328075,0.007995486299766241,-0.007560870106460868,0.0015049064994896637,0.004244365552037262,0.0006103401565218556,21.549999237060547,34.0,Fear,48.0
2022-04-08,russia_ukraine_war,2022-02-24,2.1442236872880067,4.137052891280292,191.14,1.791851036178956,12515,-3.187575254469486,-0.028353972258937266,0.004025358538914993,-0.010889938022334435,0.0005011581261806145,-0.0026545466755523947,-0.013496132235896121,21.15999984741211,37.0,Fear,34.0
2022-04-11,russia_ukraine_war,2022-02-24,1.7773870559132474,3.739036402676128,191.14,1.791851036178956,10743,-3.1440074320152576,-0.06764040584223363,0.0013896773770587837,-0.015951384222085634,0.001301730031439985,-0.017021334584696127,-0.022051587091313125,24.3700008392334,32.0,Fear,37.0
2022-04-12,russia_ukraine_war,2022-02-24,1.756612197250704,3.716495752182404,191.14,1.791851036178956,11983,-2.934504246918947,0.015198991801760953,0.014196912221042413,-0.001381481415305234,0.0035960543013233825,-0.0034233005304522353,-0.003016008617351031,24.260000228881836,20.0,Extreme Fear,32.0
2022-04-13,russia_ukraine_war,2022-02-24,2.5116597406497245,4.53571975068725,191.14,1.791851036178956,13115,-3.404879122200994,0.02557641749549052,0.004502815262256247,0.002030952381928298,-0.004096560316163609,0.011112603268901934,0.020138968148018722,21.81999969482422,25.0,Extreme Fear,20.0
2022-04-14,russia_ukraine_war,2022-02-24,2.2054312903733493,4.20346293098818,191.14,1.791851036178956,12107,-3.299717059691636,-0.030364373354540806,-0.0051114641128363805,-0.020249092960438822,0.004395635929833935,-0.012218480383508163,-0.021672516511760467,22.700000762939453,28.0,Fear,25.0
2022-04-18,russia_ukraine_war,2022-02-24,1.5879495665618464,3.5334973755646124,191.14,1.791851036178956,8799,-3.350115297684628,0.022058351869867824,0.006070128331346491,-0.0049813176504214475,0.004574837297311401,-0.0002048892724065068,-0.0014030971518028627,22.170000076293945,24.0,Extreme Fear,28.0
2022-04-19,russia_ukraine_war,2022-02-24,1.8850440204576588,3.8558438404752575,191.14,1.791851036178956,11338,-3.142349068546193,0.016435294339235306,-0.013812271285541397,-0.007518845113810089,0.0017844785847858184,0.01593004474938665,0.021320159442574815,21.3700008392334,27.0,Fear,24.0
2022-04-20,russia_ukraine_war,2022-02-24,1.477484984842095,3.413643682746496,191.14,1.791851036178956,10202,-2.959114618041302,-0.003097867846210707,-0.001739970932198888,0.019925952004269734,-0.005661795101053662,-0.0006186664061825758,-0.01230699257373767,20.31999969482422,27.0,Fear,27.0
2022-04-21,russia_ukraine_war,2022-02-24,1.5095746988319825,3.448460912516329,191.14,1.791851036178956,11392,-2.8026728382614623,-0.020684439708319406,-0.0037976152973985644,-0.007425789240038167,0.0018908543251458386,-0.014862855551311067,-0.02091279775974048,22.68000030517578,27.0,Fear,27.0
2022-04-22,russia_ukraine_war,2022-02-24,1.2725909312127737,3.191334336333096,191.14,1.791851036178956,10429,-2.7306263826808204,-0.019611085251918917,-0.007172570973407727,-0.0063139043597889195,0.006342928897055712,-0.028132076377366966,-0.02578455443420475,28.209999084472656,26.0,Fear,27.0
2022-04-25,russia_ukraine_war,2022-02-24,0.4857066883195851,2.3375676279196806,191.14,1.791851036178956,9780,-2.0780587274547213,0.01790572916517265,-0.019769510187740744,0.009951193952780723,0.005222446476871968,0.0056817651441118085,0.012812330946650451,27.020000457763672,23.0,Extreme Fear,26.0
2022-04-26,russia_ukraine_war,2022-02-24,1.6442929087666671,3.594629708877519,191.14,1.791851036178956,10610,-3.044722941946292,-0.05959955698854747,0.0043219765242018485,0.010016513878496782,0.005390878466330695,-0.028550008928597752,-0.04033474622760437,33.52000045776367,27.0,Fear,23.0
2022-04-27,russia_ukraine_war,2022-02-24,1.3867617308602258,3.3152092629087497,191.14,1.791851036178956,11774,-2.643967923469724,0.029052734994520196,-0.008185296301079753,-0.012908769791139937,0.006333701041656429,0.0020958490249645954,-0.00014496163350704284,31.600000381469727,21.0,Extreme Fear,27.0
2022-04-28,russia_ukraine_war,2022-02-24,1.7968970525108876,3.76020468216166,191.14,1.791851036178956,12277,-2.9286256945400755,0.013483906721524785,0.0014835623851351678,0.0014884672424763025,0.006486984062242926,0.024445655340832175,0.030175289993965515,29.989999771118164,24.0,Extreme Fear,21.0
2022-04-29,russia_ukraine_war,2022-02-24,1.46258722244914,3.3974796615758684,191.14,1.791851036178956,11482,-2.748780805042569,-0.02970235366082905,0.010847972444223454,-0.013057945232100892,-0.006389833497131495,-0.03695915978469415,-0.04260638109656845,33.400001525878906,23.0,Extreme Fear,24.0
2022-05-02,russia_ukraine_war,2022-02-24,1.2195868134226395,3.1338250500730807,142.26,0.789640429624822,8539,-3.026991208636675,-0.002087036751700428,-0.02519292038456543,-0.01918663150243027,0.0075471939352929965,0.005659199293818601,0.01619452725729173,32.34000015258789,28.0,Fear,23.0
2022-05-03,russia_ukraine_war,2022-02-24,0.8721799788465386,2.7568898244472417,142.26,0.789640429624822,9011,-2.5757640002084496,-0.02042224184090012,0.0037527518532821575,0.0067191484803476266,-0.0026060209165841316,0.004825465075359521,0.0022103975769239867,29.25,27.0,Fear,28.0
2022-05-04,russia_ukraine_war,2022-02-24,1.11001100638965,3.0149356747459937,142.26,0.789640429624822,9821,-2.6735085902779314,0.050312677532991644,-0.0009636752202483986,0.005494764363716562,-0.00854130101144413,0.029425221557325833,0.031426187103416124,25.420000076293945,21.0,Extreme Fear,27.0
2022-05-05,russia_ukraine_war,2022-02-24,1.367644364989676,3.294466986417328,142.26,0.789640429624822,10555,-2.7990101889115016,-0.08194136472907673,0.003742319256644968,-0.027780750819115695,0.011243732707740027,-0.03630067756409906,-0.05120617233694545,31.200000762939453,27.0,Fear,21.0
2022-05-06,russia_ukraine_war,2022-02-24,1.0328348024584362,2.9311997578137508,142.26,0.789640429624822,9856,-2.5937192211958098,-0.014713780107637159,0.003834661316685816,-0.01484488115581863,-0.0008678110211619636,-0.00569038441395277,-0.014146895540515174,30.190000534057617,22.0,Extreme Fear,27.0
